model,dataset,ratio,accuracy
SelfGCon,PubMed,0.005,0.8220000267028809
SelfGCon,PubMed,0.005,0.8070000410079956
SelfGCon,PubMed,0.005,0.8290000557899475
SelfGCon,PubMed,0.005,0.8200000524520874
SelfGCon,PubMed,0.005,0.815000057220459
SelfGCon,PubMed,0.005,0.8210000395774841
SelfGCon,PubMed,0.005,0.8100000619888306
SelfGCon,PubMed,0.005,0.815000057220459
SelfGCon,PubMed,0.005,0.8210000395774841
SelfGCon,PubMed,0.005,0.8140000104904175
SelfGCon,PubMed,0.005,0.8140000104904175
SelfGCon,PubMed,0.005,0.8130000233650208
SelfGCon,PubMed,0.005,0.8160000443458557
SelfGCon,PubMed,0.005,0.8190000653266907
SelfGCon,PubMed,0.005,0.8250000476837158
SelfGCon,PubMed,0.005,0.8140000104904175
SelfGCon,PubMed,0.005,0.8140000104904175
SelfGCon,PubMed,0.005,0.8140000104904175
SelfGCon,PubMed,0.005,0.8140000104904175
SelfGCon,PubMed,0.005,0.815000057220459
SelfGCon,PubMed,0.01,0.8140000104904175
SelfGCon,PubMed,0.01,0.8140000104904175
SelfGCon,PubMed,0.01,0.8200000524520874
SelfGCon,PubMed,0.01,0.8040000200271606
SelfGCon,PubMed,0.01,0.815000057220459
SelfGCon,PubMed,0.01,0.8060000538825989
SelfGCon,PubMed,0.01,0.8200000524520874
SelfGCon,PubMed,0.01,0.8140000104904175
SelfGCon,PubMed,0.01,0.8210000395774841
SelfGCon,PubMed,0.01,0.8290000557899475
SelfGCon,PubMed,0.01,0.8200000524520874
SelfGCon,PubMed,0.01,0.8190000653266907
SelfGCon,PubMed,0.01,0.8090000152587891
SelfGCon,PubMed,0.01,0.8180000185966492
SelfGCon,PubMed,0.01,0.8110000491142273
SelfGCon,PubMed,0.01,0.8320000171661377
SelfGCon,PubMed,0.01,0.8110000491142273
SelfGCon,PubMed,0.01,0.8180000185966492
SelfGCon,PubMed,0.01,0.8340000510215759
SelfGCon,PubMed,0.01,0.8210000395774841
SelfGCon,PubMed,0.1,0.8250000476837158
SelfGCon,PubMed,0.1,0.815000057220459
SelfGCon,PubMed,0.1,0.8050000667572021
SelfGCon,PubMed,0.1,0.8250000476837158
SelfGCon,PubMed,0.1,0.8160000443458557
SelfGCon,PubMed,0.1,0.815000057220459
SelfGCon,PubMed,0.1,0.815000057220459
SelfGCon,PubMed,0.1,0.8110000491142273
SelfGCon,PubMed,0.1,0.8200000524520874
SelfGCon,PubMed,0.1,0.8260000348091125
SelfGCon,PubMed,0.1,0.8100000619888306
SelfGCon,PubMed,0.1,0.8160000443458557
SelfGCon,PubMed,0.1,0.8090000152587891
SelfGCon,PubMed,0.1,0.8030000329017639
SelfGCon,PubMed,0.1,0.8210000395774841
SelfGCon,PubMed,0.1,0.8170000314712524
SelfGCon,PubMed,0.1,0.8160000443458557
SelfGCon,PubMed,0.1,0.8230000138282776
SelfGCon,PubMed,0.1,0.8190000653266907
SelfGCon,PubMed,0.1,0.8090000152587891
SelfGCon,PubMed,0.5,0.8140000104904175
SelfGCon,PubMed,0.5,0.8050000667572021
SelfGCon,PubMed,0.5,0.8210000395774841
SelfGCon,PubMed,0.5,0.8140000104904175
SelfGCon,PubMed,0.5,0.8050000667572021
SelfGCon,PubMed,0.5,0.8030000329017639
SelfGCon,PubMed,0.5,0.8180000185966492
SelfGCon,PubMed,0.5,0.815000057220459
SelfGCon,PubMed,0.5,0.8160000443458557
SelfGCon,PubMed,0.5,0.8140000104904175
SelfGCon,PubMed,0.5,0.8160000443458557
SelfGCon,PubMed,0.5,0.8220000267028809
SelfGCon,PubMed,0.5,0.812000036239624
SelfGCon,PubMed,0.5,0.815000057220459
SelfGCon,PubMed,0.5,0.8110000491142273
SelfGCon,PubMed,0.5,0.8280000686645508
SelfGCon,PubMed,0.5,0.8230000138282776
SelfGCon,PubMed,0.5,0.8280000686645508
SelfGCon,PubMed,0.5,0.8140000104904175
SelfGCon,PubMed,0.5,0.8180000185966492
